sharedaddress,uniqueaddress,shortpluscode,Consideration,Market_Value,Acquisition_Date,Completion_Date
"Apartment 4, Brewery Wharf, Victoria Road, Castletown, IM9 1ES",,38GX+45C,92500.0,0.0,2006-09-27,2007-07-20
"Apartment 4, Brewery Wharf, Victoria Road, Castletown, IM9 1ES",,38GX+45C,275000.0,275000.0,2007-11-02,2008-07-30
"Apartment 4, Brewery Wharf, Victoria Road, Castletown, IM9 1ES",,38GX+45C,150000.0,150000.0,2010-04-01,2010-09-07
"Apartment 4, Brewery Wharf, Victoria Road, Castletown, IM9 1ES",,38GX+45C,170000.0,170000.0,2012-03-30,2012-05-17
"Apartment 4, Brewery Wharf, Victoria Road, Castletown, IM9 1ES",,38GX+45C,175000.0,175000.0,2017-01-06,2017-04-27
"Apartment 4, Brewery Wharf, Victoria Road, Castletown, IM9 1ES",,38GX+45C,125000.0,125000.0,2017-12-14,2018-04-30
"Apartment 4, Brewery Wharf, Victoria Road, Castletown, IM9 1ES",,38GX+45C,184950.0,184950.0,2018-09-28,2018-11-05
"Apartment 4, Brewery Wharf, Victoria Road, Castletown, IM9 1ES",,38GX+45C,275000.0,275000.0,2018-10-29,2019-10-23
"Apartment 4, Brewery Wharf, Victoria Road, Castletown, IM9 1ES",,38GX+45C,152000.0,152000.0,2019-07-17,2019-08-17
"Apartment 4, Brewery Wharf, Victoria Road, Castletown, IM9 1ES",,38GX+45C,180000.0,180000.0,2019-09-11,2019-10-19
"Apartment 4, Brewery Wharf, Victoria Road, Castletown, IM9 1ES",,38GX+45C,240000.0,240000.0,2021-02-24,2021-05-20
"13 Brewery Wharf, 13, Victoria Road, Castletown, IM9 1EU",,38GX+56J,253000.0,0.0,2006-03-03,2006-08-03
"13 Brewery Wharf, 13, Victoria Road, Castletown, IM9 1EU",,38GX+56J,175000.0,175000.0,2015-01-21,2015-03-24
"13 Brewery Wharf, 13, Victoria Road, Castletown, IM9 1EU",,38GX+56J,192000.0,192000.0,2016-12-12,2016-12-23
"14, Brewery Wharf, Castletown, IM9 1EU",,38GX+664,210000.0,210000.0,2016-11-24,2017-08-08
"15, Brewery Wharf, Victoria Road, Castletown, IM9 1EU",,38GX+669,217500.0,217500.0,2007-05-24,2008-05-20
"15, Brewery Wharf, Victoria Road, Castletown, IM9 1EU",,38GX+669,260000.0,260000.0,2012-06-15,2012-07-11
"16 Brewery Wharf, 16, Victoria Road, Castletown, IM9 1EU",,38GX+67J,239000.0,239000.0,2007-07-11,2008-06-24
"16 Brewery Wharf, 16, Victoria Road, Castletown, IM9 1EU",,38GX+67J,212500.0,212500.0,2018-11-20,2019-01-25
"17, Brewery Wharf, Castletown, IM9 1EU",,38GX+67R,260000.0,260000.0,2007-07-27,2008-01-22
"17, Brewery Wharf, Castletown, IM9 1EU",,38GX+67R,280000.0,280000.0,2019-08-07,2019-09-14
"Swans Nest, 22, Brewery Wharf, Castletown, IM9 1EU",,38GX+89W,215000.0,215000.0,2015-07-31,2017-09-26
"Swans Nest, 22, Brewery Wharf, Castletown, IM9 1EU",,38GX+89W,0.25,250000.0,2017-10-04,2017-10-31
"Swans Nest, 22, Brewery Wharf, Castletown, IM9 1EU",,38GX+89W,310000.0,310000.0,2021-08-26,2021-12-20
"Swans Nest, 22, Brewery Wharf, Castletown, IM9 1EU",,38GX+89W,335000.0,335000.0,2022-10-28,2022-11-10
"23, Brewery Wharf, Castletown, IM9 1EU",,38GX+995,250000.0,250000.0,2007-05-15,2008-05-19
"23, Brewery Wharf, Castletown, IM9 1EU",,38GX+995,280000.0,280000.0,2009-12-17,2010-03-31
"24 Brewery Wharf, 24, Victoria Road, Castletown, IM9 1EU",,38GX+99H,333000.0,0.0,2005-10-04,2006-08-08
"6, Victoria Road, Castletown, IM9 1EW",,38GX+PPG,327500.0,327500.0,2019-09-29,2019-12-12
"1, Victoria Road, Castletown, IM9 1EP",,38GX+RJC,260000.0,260000.0,2007-04-27,2007-11-09
"3, Victoria Road, Castletown, IM9 1EP",,38GX+RJW,250000.0,250000.0,2007-12-17,2008-06-25
"5, Victoria Road, Castletown, IM9 1EP",,38GX+VJH,275000.0,275000.0,2022-09-30,2022-11-22
"7, Victoria Road, Castletown, IM9 1EP",,38GX+VMV,225000.0,225000.0,2011-04-15,2011-08-09
"Apartment 8, Brewery Wharf, Victoria Road, Castletown, IM9 1EW",,38GX+VV9,285000.0,285000.0,2007-11-02,2008-07-23
"Apartment 8, Brewery Wharf, Victoria Road, Castletown, IM9 1EW",,38GX+VV9,260000.0,260000.0,2012-06-07,2012-07-09
"Apartment 8, Brewery Wharf, Victoria Road, Castletown, IM9 1EW",,38GX+VV9,1.0,260000.0,2017-07-19,2017-08-04
"Sekondi, 12, Victoria Road, Castletown, IM9 1EW",,38GX+WX4,210000.0,210000.0,2018-06-01,2018-10-16
"Balladoole House, Castletown, IM9 4PE",,38HC+7JP,0.0,4.832e6,2011-08-11,2012-04-24
"Balladoole House, Castletown, IM9 4PE",,38HC+7JP,2.5e6,2.5e6,2021-04-16,2021-08-18
"Top Lodge, Castletown, IM9 4PQ",,38HC+H5P,250000.0,250000.0,2016-06-09,2017-01-26
"3, Raad Ny Gabbil, Castletown, IM9 1HH",,38HM+HXR,125000.0,250000.0,2017-08-11,2018-01-16
"7, Raad Ny Gabbil, Castletown, IM9 1HH",,38HM+QPG,300000.0,300000.0,2008-02-25,2008-07-04
"17, Raad Ny Gabbil, Castletown, IM9 1HH",,38HM+QX4,320000.0,320000.0,2020-06-16,2020-11-23
"8, Raad Ny Gabbil, Castletown, IM9 1HH",,38HM+RPP,320000.0,320000.0,2020-09-03,2020-11-25
"16, Raad Ny Gabbil, Castletown, IM9 1HH",,38HM+RW4,302000.0,302000.0,2016-05-27,2016-09-26
"15, Raad Ny Gabbil, Castletown, IM9 1HH",,38HM+VW3,270000.0,270000.0,2019-03-22,2019-11-14
"9, Raad Ny Gabbil, Castletown, IM9 1HH",,38HM+WP2,335000.0,335000.0,2015-05-12,2016-02-09
"9, Raad Ny Gabbil, Castletown, IM9 1HH",,38HM+WP2,425000.0,425000.0,2023-05-18,2023-05-25
"13, Raad Ny Gabbil, Castletown, IM9 1HH",,38HM+WXQ,250000.0,250000.0,2012-02-17,2012-04-27
"13, Raad Ny Gabbil, Castletown, IM9 1HH",,38HM+WXQ,0.25,250000.0,2016-09-15,2017-11-14
"10, Raad-Ny-Gabbil, Castletown, IM9 1HH",,38HM+XMH,318000.0,318000.0,2007-12-06,2008-07-26
"Dunluce, Red Gap, Arbory Road, Castletown, IM9 1HB",,38HP+3RC,0.0,235000.0,2017-03-22,2017-09-29
"The Crannoch, 13, Stowell Place, Castletown, IM9 1HF",,38HP+6HG,0.25,440000.0,2023-09-13,2023-09-29
"11, Stowell Place, Castletown, IM9 1HF",,38HP+7FP,250000.0,250000.0,2012-02-24,2012-04-25
"Thie Corneil, 26, Bayr Grianagh, Castletown, IM9 1HL",,38HP+97P,510000.0,510000.0,2022-08-25,2022-10-12
"4, Stowell Place, Castletown, IM9 1HF",,38HP+CQC,207500.0,207500.0,2012-03-29,2012-05-25
"4, Stowell Place, Castletown, IM9 1HF",,38HP+CQC,202500.0,202500.0,2018-03-23,2018-06-07
"3, Stowell Place, Castletown, IM9 1HF",,38HP+CQW,285000.0,285000.0,2022-07-22,2022-08-17
"1, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+F49,205000.0,205000.0,2015-02-18,2015-08-03
"2, Stowell Place, Castletown, IM9 1HF",,38HP+FRM,170000.0,170000.0,2008-01-17,2008-05-07
"2, Stowell Place, Castletown, IM9 1HF",,38HP+FRM,220000.0,220000.0,2008-06-20,2008-07-17
"2, Stowell Place, Castletown, IM9 1HF",,38HP+FRM,330000.0,330000.0,2023-06-29,2023-08-08
"2, Raad Ny Gabbil, Castletown, IM9 1HH",,38HP+G2R,310000.0,310000.0,2007-07-27,2007-11-28
"2, Raad Ny Gabbil, Castletown, IM9 1HH",,38HP+G2R,360000.0,360000.0,2011-07-27,2011-11-17
"17, Bayr Grianagh, Castletown, IM9 1HL",,38HP+GPQ,177000.0,177000.0,2018-12-13,2019-10-02
"1, Stowell Place, Castletown, IM9 1HF",,38HP+GR4,0.0,175000.0,2012-08-31,2013-06-13
"1, Stowell Place, Castletown, IM9 1HF",,38HP+GR4,175000.0,175000.0,2013-07-15,2013-12-24
"2, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+H6P,245000.0,245000.0,2007-03-16,2007-10-31
"2, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+H6P,299950.0,299950.0,2008-03-31,2008-07-16
"2, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+H6P,250000.0,250000.0,2015-06-05,2015-10-26
"2, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+H6P,425000.0,425000.0,2021-01-29,2023-03-24
"23, Bayr Grianagh, Castletown, IM9 1HL",,38HP+HFC,207500.0,207500.0,2007-08-01,2008-02-13
"23, Bayr Grianagh, Castletown, IM9 1HL",,38HP+HFC,207000.0,207000.0,2014-05-30,2014-07-31
"19, Bayr Grianagh, Castletown, IM9 1HL",,38HP+HJ8,209000.0,209000.0,2007-04-25,2007-12-01
"18, Bayr Grianagh, Castletown, IM9 1HL",,38HP+HM4,200000.0,0.0,2006-08-01,2007-04-18
"18, Bayr Grianagh, Castletown, IM9 1HL",,38HP+HM4,252000.0,252000.0,2009-10-30,2010-12-13
"3, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+J7P,190000.0,190000.0,2013-11-25,2014-04-17
"3, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+J7P,329000.0,329000.0,2016-11-30,2017-02-10
"22, Bayr Grianagh, Castletown, IM9 1HL",,38HP+JF4,182500.0,182500.0,2013-07-12,2014-01-29
"22, Bayr Grianagh, Castletown, IM9 1HL",,38HP+JF4,0.0,182500.0,2017-03-29,2017-04-11
"19, Rhearyt Lhean, Castletown, IM9 1HQ",,38HP+JX2,180000.0,0.0,2005-10-17,2006-01-03
"19, Raad Ny Gabbil, Castletown, IM9 1HH",,38HP+M39,235000.0,235000.0,2009-10-14,2010-02-17
"19, Raad Ny Gabbil, Castletown, IM9 1HH",,38HP+M39,267000.0,267000.0,2010-09-17,2011-01-18
"9, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+MPW,140000.0,140000.0,2015-01-15,2015-05-13
"9, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+MPW,258000.0,258000.0,2017-07-25,2017-08-15
"18, Reayrt Lhean, Castletown, IM9 1HQ",,38HP+MXQ,240000.0,240000.0,2011-09-16,2011-12-13
"5, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+P9P,234000.0,234000.0,2018-07-16,2019-02-23
"6, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+PFP,320000.0,320000.0,2009-08-07,2009-12-07
"6, Bayr Grianagh, Castletown, IM9 1HJ",,38HP+PFP,295000.0,295000.0,2010-12-10,2011-08-16
"12, Reayrt Lhean, Castletown, IM9 1HQ",,38HP+Q4H,1.0,250000.0,2014-12-31,2015-07-23
"12, Reayrt Lhean, Castletown, IM9 1HQ",,38HP+Q4H,292000.0,292000.0,2020-11-12,2020-12-22
"The Meadows, 4, Reayrt Lhean, Castletown, IM9 1HQ",,38HP+QMX,380000.0,380000.0,2022-04-01,2022-07-08
"Thie Ingan, 2, Reayrt Lhean, Castletown, IM9 1HQ",,38HP+QV7,265000.0,265000.0,2016-08-12,2016-11-11
"7, Reayrt Lhean, Castletown, IM9 1HQ",,38HP+VFJ,265000.0,0.0,2006-12-01,2007-08-10
"6, Reayrt Lhean, Castletown, IM9 1HQ",,38HP+VG3,245000.0,0.0,2006-02-14,2006-08-14
"6, Reayrt Lhean, Castletown, IM9 1HQ",,38HP+VG3,247500.0,247500.0,2016-06-17,2016-11-02
"26, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+2M5,128000.0,0.0,2005-01-26,2005-09-29
"26, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+2M5,182500.0,182500.0,2016-11-03,2017-09-05
"27, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+2PF,120000.0,0.0,2004-12-22,2005-09-29
"27, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+2PF,172500.0,172500.0,2016-04-29,2016-10-25
"27, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+2PF,175000.0,175000.0,2017-06-14,2017-07-19
"27, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+2PF,194000.0,194000.0,2019-09-02,2019-10-18
"28, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+2PW,118000.0,0.0,2005-07-04,2005-11-22
"28, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+2PW,118000.0,0.0,2009-06-27,2011-05-19
"28, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+2PW,136154.0,136154.0,2010-08-05,2011-05-24
"28, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+2PW,136154.0,136154.0,2011-06-08,2011-12-22
"29, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+3P9,120000.0,0.0,2005-03-04,2005-09-29
"29, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+3P9,192500.0,192500.0,2019-05-10,2019-08-15
"30, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+3QP,128000.0,0.0,2005-02-01,2005-09-29
"30, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+3QP,15000.0,190000.0,2019-06-20,2019-09-07
"30, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+3QP,205000.0,205000.0,2019-12-09,2020-02-17
"14, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+3W9,128000.0,0.0,2004-12-23,2005-09-23
"13, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+3XC,128000.0,0.0,2005-01-21,2005-09-23
"13, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+3XC,196000.0,196000.0,2016-12-01,2017-02-15
"31, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+4Q5,128000.0,0.0,2005-01-07,2007-03-26
"31, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+4Q5,43000.0,180000.0,2016-05-27,2016-08-18
"32, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+4RR,128000.0,0.0,2004-12-23,2005-09-29
"32, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+4RR,342500.0,342500.0,2022-07-29,2022-11-09
"33, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+5RC,128000.0,0.0,2004-12-23,2005-09-29
"10, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+5XX,128000.0,0.0,2005-01-28,2005-09-22
"10, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+5XX,309950.0,309950.0,2022-02-03,2022-06-13
"8, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+6VX,217500.0,0.0,2005-02-18,2005-09-22
"8, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+6VX,220000.0,0.0,2006-03-30,2006-07-04
"9, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+6X8,128000.0,0.0,2005-03-18,2005-09-22
"9, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+6X8,1.0,225000.0,2015-07-24,2015-11-30
"6, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+7QP,128000.0,0.0,2005-01-28,2005-09-22
"6, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+7QP,147692.0,147692.0,2013-10-18,2014-01-23
"6, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+7QP,150000.0,150000.0,2014-03-21,2014-06-12
"7, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+7RF,128000.0,128000.0,2005-04-01,2007-11-17
"7, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+7RF,147692.0,147692.0,2014-07-11,2014-11-18
"7, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+7RF,159000.0,159000.0,2016-06-24,2017-02-18
"4, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+8M5,128000.0,0.0,2005-01-14,2005-09-21
"4, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+8M5,0.25,128000.0,2006-11-21,2007-10-16
"4, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+8M5,147692.0,147692.0,2009-01-23,2009-04-27
"4, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+8M5,147692.0,147692.0,2009-04-20,2009-11-19
"4, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+8M5,280000.0,280000.0,2021-08-13,2022-02-09
"5, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HQ+8P3,128000.0,0.0,2005-09-09,2007-07-28
"12, Bayr Grianagh, Castletown, IM9 1HN",,38HQ+H6W,305000.0,305000.0,2010-03-01,2010-06-17
"14, Bayr Grianagh, Castletown, IM9 1HN",,38HQ+H8J,260000.0,260000.0,2019-05-10,2020-02-08
"10, Bayr Grianagh, Castletown, IM9 1HN",,38HQ+J37,250000.0,250000.0,2016-01-29,2016-05-23
"11, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HR+524,128000.0,0.0,2004-12-30,2005-11-09
"12, Y Vaarney Yiarg, Castletown, IM9 1HZ",,38HR+532,128000.0,0.0,2005-03-18,2005-09-22
"Gardenfield, Malew Road, Castletown, IM9 4EA",,38HR+WJV,775000.0,0.0,2006-07-21,2007-01-25
"130, Malew Street, Castletown, IM9 1LT",,38HV+4PG,160000.0,160000.0,2020-01-20,2020-02-26
"Northcroft, Alexandra Road, Castletown, IM9 1TE",,38HV+7V3,525000.0,525000.0,2007-05-29,2007-12-12
"Northcroft, Alexandra Road, Castletown, IM9 1TE",,38HV+7V3,510000.0,510000.0,2009-10-15,2011-03-15
"Northcroft, Alexandra Road, Castletown, IM9 1TE",,38HV+7V3,485000.0,485000.0,2020-10-09,2020-11-10
"1, Malew Road, Castletown, IM9 4EA",,38HV+FHJ,225000.0,225000.0,2012-11-30,2012-12-28
"1, Malew Road, Castletown, IM9 4EA",,38HV+FHJ,292500.0,292500.0,2021-08-19,2021-12-16
"Balley Ny Geyll, 4, Malew Road, Castletown, IM9 4EA",,38HV+HGP,230000.0,230000.0,2017-09-29,2018-02-08
"Greenfield, 5, Malew Road, Castletown, IM9 4EA",,38HV+JGG,182500.0,182500.0,2019-06-28,2019-09-24
"Roscavan, Malew Road, Castletown, IM9 4EA",,38HV+PG3,285000.0,285000.0,2010-07-23,2010-10-21
"Roscavan, Malew Road, Castletown, IM9 4EA",,38HV+PG3,470000.0,470000.0,2023-03-10,2023-05-09
"Irwell, 12, Malew Road, Castletown, IM9 4EA",,38HV+RGR,317500.0,0.0,2006-08-25,2007-08-24
"Irwell, 12, Malew Road, Castletown, IM9 4EA",,38HV+RGR,425000.0,425000.0,2021-06-11,2021-07-23
"Newhaven, Mill Road, Castletown, IM9 4EA",,38HV+XFM,325000.0,325000.0,2021-07-20,2021-11-01
"5A, Ellerslie Gardens, Castletown, IM9 1LT",,38HW+246,249950.0,249950.0,2007-10-17,2008-05-07
"9, Milner Terrace, Castletown, IM9 1AJ",,38HW+2H7,155000.0,0.0,2006-03-10,2006-04-28
"9, Milner Terrace, Castletown, IM9 1AJ",,38HW+2H7,192000.0,192000.0,2009-09-25,2009-12-30
"10, Milner Terrace, Castletown, IM9 1AJ",,38HW+2HG,180000.0,0.0,2005-10-28,2006-01-31
"10, Milner Terrace, Castletown, IM9 1AJ",,38HW+2HG,180000.0,180000.0,2007-07-12,2007-12-05
"10, Milner Terrace, Castletown, IM9 1AJ",,38HW+2HG,182500.0,182500.0,2015-12-14,2016-01-08
"15, Athol Terrace, Castletown, IM9 1AL",,38HW+2PR,135000.0,135000.0,2007-11-16,2008-03-15
"15, Athol Terrace, Castletown, IM9 1AL",,38HW+2PR,190000.0,190000.0,2012-06-18,2012-09-07
"15, Athol Terrace, Castletown, IM9 1AL",,38HW+2PR,138000.0,138000.0,2015-11-20,2016-01-12
"13, Milner Terrace, Castletown, IM9 1AJ",,38HW+3JJ,185000.0,185000.0,2009-04-17,2009-06-01
"14, Milner Terrace, Castletown, IM9 1AJ",,38HW+3JP,116500.0,116500.0,2019-07-19,2019-09-12
"16, Athol Terrace, Castletown, IM9 1AL",,38HW+3P4,125000.0,125000.0,2018-07-24,2018-11-12
"16, Athol Terrace, Castletown, IM9 1AL",,38HW+3P4,215000.0,215000.0,2022-10-21,2022-11-30
"17, Athol Terrace, Castletown, IM9 1AL",,38HW+3PH,160000.0,160000.0,2013-08-15,2014-01-28
"15, Milner Terrace, Castletown, IM9 1AJ",,38HW+4M2,140000.0,140000.0,2008-02-26,2008-07-01
"15, Milner Terrace, Castletown, IM9 1AJ",,38HW+4M2,135000.0,135000.0,2016-07-01,2016-07-26
"Fairleigh, Alexandra Road, Castletown, IM9 1TG",,38HW+4PH,520000.0,520000.0,2021-10-29,2021-12-17
"Parkgate House, 9, Victoria Road, Castletown, IM9 1EN",,38HX+2VC,540000.0,540000.0,2010-01-15,2010-04-19
"The Engine House, Alexandra Road, Castletown, IM9 1TG",,38HX+3F9,800000.0,800000.0,2019-09-23,2020-03-18
"Wyverne, 13, Victoria Road, Castletown, IM9 1EN",,38HX+3X7,136500.0,136500.0,2019-04-01,2019-11-08
"Wyverne, 13, Victoria Road, Castletown, IM9 1EN",,38HX+3X7,289950.0,289950.0,2021-05-04,2021-09-14
"Dove Cottage, Golden Meadow Mill, Castletown, IM9 1TF",,38HX+M76,0.25,175000.0,1997-12-10,2009-08-10
"Mill House, Golden Meadow Mill, Castletown, IM9 1TF",,38HX+MCV,0.25,316666.66,2009-04-30,2009-08-11
"Mill Cottage, Golden Meadow Mill, Castletown, IM9 1TF",,38HX+P5F,0.25,140000.0,2009-04-30,2009-08-11
"12, Raad Ny Gabbil, Castletown, IM9 1HH",,38JP+225,290000.0,290000.0,2017-06-08,2017-10-09
"Balladoole Cottage, Fishers Hill, Castletown, IM9 4PN",,38M7+HC7,544000.0,544000.0,2009-10-29,2010-07-26
"Croit-E-Volley, Fishers Hill, Castletown, IM9 4PN",,38MC+X86,485000.0,485000.0,2019-07-25,2020-09-25
"Church Farm, Great Meadow, Castletown, IM9 4EB",,38PX+QMX,710000.0,0.0,2006-07-03,2007-02-09
"Church Farm, Great Meadow, Castletown, IM9 4EB",,38PX+QMX,825000.0,825000.0,2014-07-16,2014-10-21
"Church Farm, Great Meadow, Castletown, IM9 4EB",,38PX+QMX,771495.0,771495.0,2018-08-09,2018-09-13
"61, Cronk Cullyn, Colby, IM9 4PS",,38W2+F2J,1.0,144500.0,2017-11-07,2018-08-15
"62, Cronk Cullyn, Colby, IM9 4PS",,38W2+F2W,1.0,144500.0,2017-11-07,2018-08-16
"63, Cronk Cullyn, Colby, IM9 4PS",,38W2+G33,1.0,150000.0,2017-11-07,2018-08-16
"64, Cronk Cullyn, Colby, IM9 4PS",,38W2+G42,239999.0,239999.0,2018-10-24,2019-07-05
"Trafalgar House, Main Road, Colby, IM9 4LR",,38W2+G6C,170000.0,170000.0,2018-08-24,2018-12-06
"Trafalgar House, Main Road, Colby, IM9 4LR",,38W2+G6C,430000.0,430000.0,2021-11-22,2022-01-28
"Greengates, Main Road, Colby, IM9 4LW",,38W2+JR3,120000.0,240000.0,2008-03-14,2008-07-18
"Greengates, Main Road, Colby, IM9 4LW",,38W2+JR3,195000.0,195000.0,2009-05-06,2009-07-20
"Greengates, Main Road, Colby, IM9 4LW",,38W2+JR3,190000.0,190000.0,2020-03-19,2020-05-18
"13, Cronk Cullyn, Colby, IM9 4NQ",,38W2+Q8Q,261000.0,261000.0,2017-03-29,2017-11-14
"12, Cronk Cullyn, Colby, IM9 4NQ",,38W2+QFV,294000.0,294000.0,2019-07-15,2020-05-28
"9, Cronk Cullyn, Colby, IM9 4NQ",,38W2+QPQ,295000.0,295000.0,2016-07-28,2016-11-10
"86, Cronk Cullyn, Colby, IM9 4PS",,38W2+R2M,349999.0,349999.0,2015-07-22,2016-11-21
"87, Cronk Cullyn, Colby, IM9 4PS",,38W2+V2Q,404999.0,404999.0,2015-08-14,2016-11-23
"8, Cronk Cullyn, Colby, IM9 4NQ",,38W2+VP8,280000.0,0.0,2005-09-08,2006-01-26
"8, Cronk Cullyn, Colby, IM9 4NQ",,38W2+VP8,280000.0,0.0,2016-05-23,2016-06-21
"8, Cronk Cullyn, Colby, IM9 4NQ",,38W2+VP8,320000.0,320000.0,2016-06-01,2016-07-28
"Slaynt As Shee, 8, Cronk-Y-Thatcher, Colby, IM9 4LN",,38W2+VVG,324000.0,0.0,2005-09-09,2005-11-11
"88, Cronk Cullyn, Colby, IM9 4PS",,38W2+W2Q,404999.0,404999.0,2015-08-28,2016-11-23
"16, Cronk Cullyn, Colby, IM9 4NQ",,38W2+W96,330000.0,330000.0,2009-12-01,2010-07-08
"16, Cronk Cullyn, Colby, IM9 4NQ",,38W2+W96,412500.0,412500.0,2013-05-30,2014-01-27
"7, Cronk Cullyn, Colby, IM9 4NQ",,38W2+WPJ,312500.0,312500.0,2014-01-24,2014-05-13
"89, Cronk Cullyn, Colby, IM9 4PS",,38W2+X3R,625000.0,625000.0,2018-04-24,2018-08-08
"89, Cronk Cullyn, Colby, IM9 4PS",,38W2+X3R,788000.0,788000.0,2022-11-30,2023-01-11
"6, Cronk Cullyn, Colby, IM9 4NQ",,38W2+XMV,345000.0,345000.0,2009-03-30,2009-07-20
"6, Cronk Cullyn, Colby, IM9 4NQ",,38W2+XMV,370000.0,370000.0,2019-11-15,2020-01-31
"Cairbre, Main Road, Colby, IM9 4LW",,38W3+J2C,239000.0,239000.0,2007-06-29,2007-12-05
"Cairbre, Main Road, Colby, IM9 4LW",,38W3+J2C,425000.0,425000.0,2011-05-03,2011-05-16
"2, Cronk Y Thatcher, Colby, IM9 4LN",,38W3+M6H,315000.0,315000.0,2011-10-27,2012-02-22
"4, Cronk-Y-Thatcher, Colby, IM9 4LN",,38W3+Q3G,260000.0,260000.0,2014-08-08,2015-01-07
"4, Cronk-Y-Thatcher, Colby, IM9 4LN",,38W3+Q3G,110000.0,400000.0,2022-07-27,2022-08-16
"3, Cronk-Y-Thatcher, Colby, IM9 4LN",,38W3+R54,305000.0,0.0,2006-12-15,2007-06-30
"3, Cronk-Y-Thatcher, Colby, IM9 4LN",,38W3+R54,399950.0,399950.0,2021-06-25,2021-08-31
"19, Cronk-Y-Thatcher, Colby, IM9 4LN",,38W3+R9X,249950.0,249950.0,2017-07-27,2017-10-13
"19, Cronk-Y-Thatcher, Colby, IM9 4LN",,38W3+R9X,315000.0,315000.0,2018-11-30,2019-02-23
"Fairwinds, 6, Cronk Y Thatcher, Colby, IM9 4LN",,38W3+V4V,145000.0,290000.0,2011-06-16,2011-10-17
"Fairwinds, 6, Cronk Y Thatcher, Colby, IM9 4LN",,38W3+V4V,292000.0,292000.0,2016-10-07,2017-01-19
"18, Cronk Y Thatcher, Colby, IM9 4LN",,38W3+W89,265000.0,265000.0,2012-07-03,2012-08-23
"17, Cronk-Y-Thatcher, Colby, IM9 4LN",,38W3+X7G,287500.0,0.0,2006-11-06,2007-06-30
"Fuchsia Cottage, Castletown Road, Castletown, IM9 4LD",,38WF+MQW,1.0,300000.0,2008-12-22,2009-04-14
"3, Douglas Road, Castletown, IM9 4EG",,38WF+RWR,178000.0,178000.0,2007-07-20,2008-02-01
"5, Douglas Road, Castletown, IM9 4EG",,38WF+RXM,135000.0,135000.0,2020-02-14,2020-07-23
